state,county,FIPS,LEVEL,ALAND_SQMI,AWATER_SQMI
GA,Oglethorpe County,13221,2.0,439.01099999999997,3.0269999999999997
GA,Paulding County,13223,3.0,312.29200000000003,2.05
GA,Peach County,13225,1.0,150.267,1.033
GA,Pickens County,13227,3.0,232.058,0.654
GA,Pierce County,13229,0.0,340.176,3.054
GA,Pike County,13231,1.9891000000000003,216.08599999999998,3.319
GA,Polk County,13233,3.0,310.33799999999997,1.8019999999999998
GA,Pulaski County,13235,0.0,249.06,2.147
GA,Putnam County,13237,1.2957999999999998,344.648,16.038
GA,Quitman County,13239,1.0,151.237,9.328
GA,Rabun County,13241,3.0,370.131,6.888999999999999
GA,Randolph County,13243,0.268,428.236,2.637
GA,Richmond County,13245,0.0113,324.329,4.263
GA,Rockdale County,13247,3.0,129.81,2.2880000000000003
GA,Schley County,13249,0.9084,166.90599999999998,0.9179999999999999
